measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1996,0.5725811321764586,0.9198067565085468,0.062026175160047665
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1996,1.0585498927849544,1.447765350960932,0.18030698865936243
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,2006,1.2664326827908994,1.6802759174051118,0.2230398969981891
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,2006,0.5726138519664357,0.9080134171605637,0.0620009425067514
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,2006,0.9311182510365168,1.25699769949591,0.16943419746562707
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1997,1.5334494803406813,2.045364852091358,0.24421626343121083
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1997,0.5792783559942923,0.9297233816371561,0.06330591855823076
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1997,1.0755644598810579,1.467036086395947,0.18552327781181832
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,1995,1.6101282859975077,2.13815422501533,0.33106270614033895
Deaths,India,Female,All ages,Environmental heat and cold exposure,Rate,1995,0.604534040080256,0.9606965792993039,0.0912227550986443
Deaths,India,Both,All ages,Environmental heat and cold exposure,Rate,1995,1.1280790377973273,1.5398422437323498,0.2443992528487283
Deaths,India,Male,All ages,Environmental heat and cold exposure,Rate,2010,1.1761354683763763,1.5301037731424794,0.23777167592222645
